solicitud_id,cliente_id,artista_id,campana_id,fecha_solicitud,hora_solicitud,canal_contacto,fuente_llegada,estilo_tatuaje,zona_cuerpo,tamano,monto_cotizado_clp,minutos_respuesta,estado_solicitud,etapa_pipeline,score_oportunidad
RES-0014,CLI-0014,ART-005,CAMP-RET-01,2026-06-15,12:30,WhatsApp,cliente recurrente,fine line,mano/dedos,mediano,115000,212,pendiente,esperando respuesta cliente,38
RES-0015,CLI-0015,ART-002,CAMP-TK-01,2026-05-28,17:30,WhatsApp,TikTok,geometrico,muneca,mediano,95000,61,contactar,pendiente de contacto,22
RES-0016,CLI-0016,ART-006,CAMP-RET-01,2026-05-16,10:00,WhatsApp,cliente recurrente,geometrico color,hombro,pequeno,65000,95,pendiente,esperando respuesta cliente,24
RES-0017,CLI-0017,ART-004,CAMP-DIR-01,2026-06-12,11:30,WhatsApp,visita directa,tradicional,costillas,mediano,115000,152,pendiente,esperando respuesta cliente,21
RES-0018,CLI-0018,ART-006,CAMP-IG-01,2026-05-17,14:00,WhatsApp,Instagram,geometrico,costillas,sesion larga,425000,93,confirmada,reserva confirmada,100
RES-0019,CLI-0019,ART-002,CAMP-REF-01,2026-06-16,14:00,WhatsApp,recomendacion,tradicional color,pecho,mediano,170000,180,contactar,pendiente de contacto,41
RES-0020,CLI-0020,ART-002,CAMP-TK-01,2026-06-05,09:00,Instagram,TikTok,geometrico,muneca,grande,195000,77,cancelada,perdida,36
RES-0021,CLI-0021,ART-006,CAMP-TK-01,2026-05-19,11:30,Instagram,TikTok,blackwork,muneca,pequeno,50000,373,pendiente,esperando respuesta cliente,14
RES-0022,CLI-0022,ART-002,CAMP-TK-01,2026-06-11,14:00,WhatsApp,TikTok,tradicional color,brazo,grande,245000,260,pendiente,esperando respuesta cliente,45
RES-0023,CLI-0023,ART-004,CAMP-IG-01,2026-05-20,12:30,WhatsApp,Instagram,tradicional color,mano/dedos,pequeno,65000,90,confirmada,reserva confirmada,41
RES-0024,CLI-0024,ART-006,CAMP-IG-01,2026-05-28,17:30,WhatsApp,Instagram,blackwork,costillas,grande,245000,108,pendiente,esperando respuesta cliente,50
RES-0025,CLI-0025,ART-004,CAMP-GO-01,2026-06-07,17:30,WhatsApp,Google,lettering color,hombro,grande,245000,153,contactar,pendiente de contacto,50
RES-0026,CLI-0026,ART-003,CAMP-GO-01,2026-06-14,15:00,WhatsApp,Google,fine line,espalda,sesion larga,305000,116,pendiente,esperando respuesta cliente,56
RES-0027,CLI-0027,ART-001,CAMP-IG-01,2026-06-15,15:00,WhatsApp,Instagram,minimalista,pecho,mediano,130000,42,pendiente,esperando respuesta cliente,29
RES-0028,CLI-0028,ART-003,CAMP-RET-01,2026-06-06,15:30,WhatsApp,cliente recurrente,minimalista color,cuello,grande,180000,61,confirmada,reserva confirmada,74
RES-0029,CLI-0029,ART-004,CAMP-GO-01,2026-06-03,09:30,Instagram,Google,tradicional color,mano/dedos,mediano,100000,275,confirmada,reserva confirmada,47
RES-0030,CLI-0030,ART-006,CAMP-TK-01,2026-06-04,14:30,WhatsApp,TikTok,geometrico color,brazo,mediano,140000,82,pendiente,esperando respuesta cliente,30
RES-0031,CLI-0031,ART-004,CAMP-IG-01,2026-05-22,16:00,Instagram,Instagram,blackwork,pierna,pequeno,70000,85,confirmada,reserva confirmada,42
RES-0032,CLI-0032,ART-005,CAMP-IG-01,2026-06-04,13:30,WhatsApp,Instagram,minimalista,mano/dedos,pequeno,45000,174,confirmada,reserva confirmada,37
RES-0033,CLI-0033,ART-003,CAMP-RET-01,2026-06-19,14:00,WhatsApp,cliente recurrente,fine line,cuello,mediano,110000,265,reagendada,reagendar fecha,37
RES-0034,CLI-0034,ART-005,CAMP-AIEP-01,2026-05-22,17:30,WhatsApp,evento AIEP,minimalista,antebrazo,pequeno,40000,68,pendiente,esperando respuesta cliente,12
RES-0035,CLI-0035,ART-006,CAMP-IG-01,2026-06-01,17:00,WhatsApp,Instagram,blackwork,hombro,pequeno,60000,62,pendiente,esperando respuesta cliente,16
RES-0036,CLI-0036,ART-006,CAMP-AIEP-01,2026-06-10,13:00,Instagram,evento AIEP,geometrico,brazo,mediano,100000,169,pendiente,esperando respuesta cliente,23
RES-0037,CLI-0037,ART-003,CAMP-IG-01,2026-05-16,15:30,WhatsApp,Instagram,fine line,cuello,pequeno,45000,54,cancelada,perdida,13
RES-0038,CLI-0038,ART-004,CAMP-IG-01,2026-05-14,10:00,Instagram,Instagram,blackwork,muneca,sesion larga,260000,186,pendiente,esperando respuesta cliente,48
RES-0039,CLI-0039,ART-003,CAMP-RET-01,2026-05-14,13:00,Instagram,cliente recurrente,geometrico color,pecho,pequeno,55000,320,contactar,pendiente de contacto,27
RES-0040,CLI-0040,ART-005,CAMP-DIR-01,2026-06-07,11:00,WhatsApp,visita directa,minimalista,costillas,pequeno,40000,14,cancelada,perdida,12
RES-0041,CLI-0041,ART-001,CAMP-REF-01,2026-05-23,16:30,WhatsApp,recomendacion,fine line,antebrazo,sesion larga,260000,22,contactar,pendiente de contacto,57
RES-0042,CLI-0042,ART-002,CAMP-DIR-01,2026-06-19,11:00,WhatsApp,visita directa,tradicional,pecho,mediano,140000,212,confirmada,reserva confirmada,54
RES-0043,CLI-0043,ART-003,CAMP-DIR-01,2026-06-17,15:00,WhatsApp,visita directa,minimalista,brazo,grande,180000,144,cancelada,perdida,38
RES-0044,CLI-0044,ART-004,CAMP-GO-01,2026-06-07,15:30,Instagram,Google,blackwork,pierna,mediano,115000,63,pendiente,esperando respuesta cliente,26
RES-0045,CLI-0045,ART-003,CAMP-TK-01,2026-06-09,14:00,WhatsApp,TikTok,minimalista,espalda,mediano,85000,72,pendiente,esperando respuesta cliente,20
RES-0046,CLI-0046,ART-002,CAMP-IG-01,2026-05-22,15:30,WhatsApp,Instagram,blackwork,tobillo,grande,220000,102,contactar,pendiente de contacto,45
RES-0047,CLI-0047,ART-003,CAMP-REF-01,2026-06-06,14:30,Instagram,recomendacion,minimalista,muneca,mediano,85000,119,pendiente,esperando respuesta cliente,30
RES-0048,CLI-0048,ART-005,CAMP-RET-01,2026-06-02,09:00,WhatsApp,cliente recurrente,fine line,muneca,sesion larga,260000,184,reagendada,reagendar fecha,60
RES-0049,CLI-0049,ART-006,CAMP-IG-01,2026-05-19,17:30,WhatsApp,Instagram,blackwork color,costillas,mediano,165000,81,cancelada,perdida,35
RES-0050,CLI-0050,ART-005,CAMP-IG-01,2026-06-05,15:30,WhatsApp,Instagram,fine line,hombro,pequeno,55000,191,cancelada,perdida,15
RES-0051,CLI-0051,ART-006,CAMP-DIR-01,2026-06-17,13:30,WhatsApp,visita directa,blackwork color,pierna,sesion larga,450000,173,pendiente,esperando respuesta cliente,78
RES-0052,CLI-0052,ART-005,CAMP-IG-01,2026-06-03,10:00,WhatsApp,Instagram,geometrico color,brazo,pequeno,40000,66,confirmada,reserva confirmada,31
RES-0053,CLI-0053,ART-002,CAMP-GO-01,2026-06-16,12:30,WhatsApp,Google,geometrico,cuello,mediano,120000,137,cancelada,perdida,27
RES-0054,CLI-0054,ART-003,CAMP-DIR-01,2026-05-16,10:30,WhatsApp,visita directa,geometrico,espalda,pequeno,40000,163,cancelada,perdida,12
RES-0055,CLI-0055,ART-002,CAMP-IG-01,2026-06-10,14:30,Instagram,Instagram,blackwork,pierna,mediano,170000,154,pendiente,esperando respuesta cliente,31
RES-0056,CLI-0056,ART-002,CAMP-GO-01,2026-05-27,09:30,WhatsApp,Google,tradicional color,mano/dedos,mediano,170000,118,contactar,pendiente de contacto,36
RES-0057,CLI-0057,ART-001,CAMP-GO-01,2026-06-02,12:00,WhatsApp,Google,lettering,antebrazo,pequeno,40000,168,pendiente,esperando respuesta cliente,12
RES-0058,CLI-0058,ART-003,CAMP-GO-01,2026-05-20,16:00,Instagram,Google,fine line,mano/dedos,pequeno,40000,39,contactar,pendiente de contacto,12
RES-0059,CLI-0059,ART-002,CAMP-TK-01,2026-05-14,10:30,WhatsApp,TikTok,tradicional color,tobillo,sesion larga,330000,55,pendiente,esperando respuesta cliente,61
RES-0060,CLI-0060,ART-005,CAMP-REF-01,2026-05-18,14:30,Instagram,recomendacion,geometrico color,brazo,pequeno,40000,78,confirmada,reserva confirmada,46
RES-0061,CLI-0061,ART-006,CAMP-IG-01,2026-05-25,12:00,Instagram,Instagram,geometrico,cuello,grande,260000,109,confirmada,reserva confirmada,71
RES-0062,CLI-0062,ART-004,CAMP-REF-01,2026-05-28,14:00,Instagram,recomendacion,lettering,tobillo,grande,180000,215,reagendada,reagendar fecha,44
RES-0063,CLI-0063,ART-006,CAMP-IG-01,2026-06-15,10:30,WhatsApp,Instagram,geometrico,pierna,pequeno,75000,106,pendiente,esperando respuesta cliente,14
RES-0064,CLI-0064,ART-003,CAMP-TK-01,2026-06-08,13:30,WhatsApp,TikTok,fine line,tobillo,mediano,85000,19,pendiente,esperando respuesta cliente,15
RES-0065,CLI-0065,ART-002,CAMP-IG-01,2026-05-26,10:00,WhatsApp,Instagram,geometrico,antebrazo,mediano,105000,49,confirmada,reserva confirmada,48
RES-0066,CLI-0066,ART-002,CAMP-IG-01,2026-05-18,13:00,Instagram,Instagram,geometrico color,antebrazo,grande,305000,90,pendiente,esperando respuesta cliente,51
RES-0067,CLI-0067,ART-006,CAMP-RET-01,2026-05-18,15:30,WhatsApp,cliente recurrente,geometrico,espalda,grande,330000,68,confirmada,reserva confirmada,96
RES-0068,CLI-0068,ART-002,CAMP-AIEP-01,2026-05-21,11:00,WhatsApp,evento AIEP,geometrico,antebrazo,pequeno,40000,182,pendiente,esperando respuesta cliente,12
RES-0069,CLI-0069,ART-004,CAMP-IG-01,2026-05-29,10:00,WhatsApp,Instagram,lettering,antebrazo,grande,180000,39,confirmada,reserva confirmada,62
RES-0070,CLI-0070,ART-006,CAMP-TK-01,2026-06-17,15:00,WhatsApp,TikTok,tradicional color,hombro,grande,330000,67,confirmada,reserva confirmada,80
RES-0071,CLI-0071,ART-005,CAMP-IG-01,2026-05-28,14:00,WhatsApp,Instagram,minimalista,pecho,pequeno,45000,126,pendiente,esperando respuesta cliente,13
RES-0072,CLI-0072,ART-003,CAMP-DIR-01,2026-05-19,12:30,WhatsApp,visita directa,geometrico,costillas,mediano,100000,191,cancelada,perdida,23
RES-0073,CLI-0073,ART-001,CAMP-IG-01,2026-05-14,10:00,WhatsApp,Instagram,lettering color,espalda,pequeno,40000,218,pendiente,esperando respuesta cliente,12
RES-0074,CLI-0074,ART-002,CAMP-DIR-01,2026-06-05,17:30,WhatsApp,visita directa,blackwork,cuello,mediano,105000,73,pendiente,esperando respuesta cliente,19
RES-0075,CLI-0075,ART-005,CAMP-DIR-01,2026-06-02,15:30,WhatsApp,visita directa,minimalista color,hombro,pequeno,50000,92,contactar,pendiente de contacto,12
RES-0076,CLI-0076,ART-002,CAMP-GO-01,2026-06-05,17:00,Instagram,Google,tradicional,costillas,sesion larga,430000,362,confirmada,reserva confirmada,100
RES-0077,CLI-0077,ART-006,CAMP-REF-01,2026-05-24,09:00,WhatsApp,recomendacion,geometrico,muneca,grande,180000,195,contactar,pendiente de contacto,48
RES-0078,CLI-0078,ART-004,CAMP-TK-01,2026-05-29,16:30,Instagram,TikTok,lettering,pecho,pequeno,40000,49,pendiente,esperando respuesta cliente,12
RES-0079,CLI-0079,ART-002,CAMP-TK-01,2026-05-15,16:30,Instagram,TikTok,tradicional color,pierna,mediano,150000,258,contactar,pendiente de contacto,27
RES-0080,CLI-0080,ART-001,CAMP-IG-01,2026-06-03,12:00,Instagram,Instagram,minimalista color,costillas,mediano,85000,201,pendiente,esperando respuesta cliente,20
RES-0081,CLI-0081,ART-006,CAMP-GO-01,2026-06-14,10:00,WhatsApp,Google,blackwork,hombro,pequeno,75000,164,confirmada,reserva confirmada,38
RES-0082,CLI-0082,ART-001,CAMP-IG-01,2026-06-07,14:30,WhatsApp,Instagram,lettering color,brazo,pequeno,40000,32,pendiente,esperando respuesta cliente,12
RES-0083,CLI-0083,ART-006,CAMP-AIEP-01,2026-06-12,15:00,WhatsApp,evento AIEP,geometrico color,pierna,mediano,160000,75,pendiente,esperando respuesta cliente,34
RES-0084,CLI-0084,ART-001,CAMP-REF-01,2026-05-31,16:30,Instagram,recomendacion,minimalista,mano/dedos,pequeno,40000,110,pendiente,esperando respuesta cliente,22
RES-0085,CLI-0085,ART-006,CAMP-TK-01,2026-06-11,14:00,WhatsApp,TikTok,tradicional,mano/dedos,grande,240000,76,confirmada,reserva confirmada,73
RES-0086,CLI-0086,ART-004,CAMP-REF-01,2026-05-31,16:30,Instagram,recomendacion,lettering,tobillo,sesion larga,260000,70,contactar,pendiente de contacto,53
RES-0087,CLI-0087,ART-006,CAMP-GO-01,2026-06-09,17:00,WhatsApp,Google,tradicional color,pierna,mediano,170000,28,cancelada,perdida,36
RES-0088,CLI-0088,ART-006,CAMP-RET-01,2026-05-14,14:30,WhatsApp,cliente recurrente,blackwork,costillas,pequeno,75000,154,pendiente,esperando respuesta cliente,31
RES-0089,CLI-0089,ART-004,CAMP-AIEP-01,2026-06-05,09:00,WhatsApp,evento AIEP,blackwork color,tobillo,mediano,105000,30,pendiente,esperando respuesta cliente,24
RES-0090,CLI-0090,ART-004,CAMP-DIR-01,2026-05-16,17:00,WhatsApp,visita directa,blackwork,cuello,mediano,115000,154,confirmada,reserva confirmada,50
RES-0091,CLI-0091,ART-003,CAMP-REF-01,2026-06-01,13:30,WhatsApp,recomendacion,minimalista color,brazo,grande,185000,25,pendiente,esperando respuesta cliente,45
RES-0092,CLI-0092,ART-001,CAMP-RET-01,2026-05-23,11:30,WhatsApp,cliente recurrente,fine line,tobillo,pequeno,45000,123,confirmada,reserva confirmada,49
RES-0093,CLI-0093,ART-004,CAMP-IG-01,2026-06-17,09:30,WhatsApp,Instagram,lettering,espalda,mediano,95000,120,confirmada,reserva confirmada,46
RES-0094,CLI-0094,ART-001,CAMP-AIEP-01,2026-05-21,17:30,WhatsApp,evento AIEP,fine line,pecho,grande,210000,132,cancelada,perdida,43
RES-0095,CLI-0095,ART-003,CAMP-AIEP-01,2026-06-19,13:30,Instagram,evento AIEP,fine line,antebrazo,mediano,85000,98,confirmada,reserva confirmada,39
RES-0096,CLI-0096,ART-002,CAMP-TK-01,2026-06-17,11:00,Instagram,TikTok,blackwork,espalda,mediano,150000,205,reagendada,reagendar fecha,27
RES-0097,CLI-0097,ART-005,CAMP-IG-01,2026-06-15,14:30,WhatsApp,Instagram,fine line,mano/dedos,mediano,120000,187,confirmada,reserva confirmada,51
RES-0098,CLI-0098,ART-003,CAMP-AIEP-01,2026-05-20,16:30,WhatsApp,evento AIEP,fine line,antebrazo,grande,180000,69,pendiente,esperando respuesta cliente,33
RES-0099,CLI-0099,ART-001,CAMP-RET-01,2026-05-31,10:30,WhatsApp,cliente recurrente,minimalista,pecho,pequeno,40000,129,reagendada,reagendar fecha,19
RES-0100,CLI-0100,ART-001,CAMP-GO-01,2026-06-10,17:00,WhatsApp,Google,minimalista color,cuello,mediano,160000,40,contactar,pendiente de contacto,34
RES-0101,CLI-0101,ART-003,CAMP-IG-01,2026-05-20,09:00,WhatsApp,Instagram,geometrico,muneca,mediano,85000,127,pendiente,esperando respuesta cliente,20
RES-0102,CLI-0102,ART-003,CAMP-IG-01,2026-06-14,11:30,Instagram,Instagram,geometrico,pierna,grande,190000,127,pendiente,esperando respuesta cliente,31
RES-0103,CLI-0103,ART-002,CAMP-TK-01,2026-05-16,11:00,Instagram,TikTok,geometrico,muneca,sesion larga,265000,32,pendiente,esperando respuesta cliente,49
RES-0104,CLI-0104,ART-003,CAMP-AIEP-01,2026-06-05,17:30,WhatsApp,evento AIEP,geometrico,espalda,pequeno,40000,36,confirmada,reserva confirmada,31
RES-0105,CLI-0105,ART-006,CAMP-REF-01,2026-06-01,09:00,WhatsApp,recomendacion,tradicional,pecho,mediano,165000,151,confirmada,reserva confirmada,69
RES-0106,CLI-0106,ART-004,CAMP-IG-01,2026-06-04,12:30,WhatsApp,Instagram,tradicional,tobillo,mediano,115000,122,pendiente,esperando respuesta cliente,21
RES-0107,CLI-0107,ART-001,CAMP-IG-01,2026-06-07,12:30,Instagram,Instagram,fine line,pierna,pequeno,40000,137,pendiente,esperando respuesta cliente,12
RES-0108,CLI-0108,ART-001,CAMP-TK-01,2026-06-12,12:30,WhatsApp,TikTok,minimalista,antebrazo,grande,180000,112,pendiente,esperando respuesta cliente,38
RES-0109,CLI-0109,ART-005,CAMP-AIEP-01,2026-06-17,16:30,Instagram,evento AIEP,fine line,antebrazo,mediano,105000,181,pendiente,esperando respuesta cliente,24
RES-0110,CLI-0110,ART-002,CAMP-REF-01,2026-05-13,09:00,WhatsApp,recomendacion,geometrico,hombro,mediano,165000,172,confirmada,reserva confirmada,64
RES-0111,CLI-0111,ART-003,CAMP-IG-01,2026-06-08,12:30,Instagram,Instagram,fine line,costillas,mediano,85000,160,pendiente,esperando respuesta cliente,20
RES-0112,CLI-0112,ART-005,CAMP-IG-01,2026-06-17,15:00,WhatsApp,Instagram,minimalista,costillas,mediano,85000,183,pendiente,esperando respuesta cliente,15
RES-0113,CLI-0113,ART-003,CAMP-IG-01,2026-05-31,14:00,Instagram,Instagram,geometrico,hombro,mediano,85000,101,confirmada,reserva confirmada,44
RES-0114,CLI-0114,ART-004,CAMP-TK-01,2026-06-07,17:00,WhatsApp,TikTok,tradicional color,tobillo,grande,230000,25,pendiente,esperando respuesta cliente,47
RES-0115,CLI-0115,ART-002,CAMP-REF-01,2026-05-31,15:00,WhatsApp,recomendacion,geometrico,pecho,mediano,170000,91,confirmada,reserva confirmada,70
RES-0116,CLI-0116,ART-005,CAMP-IG-01,2026-06-06,11:30,WhatsApp,Instagram,minimalista,pierna,grande,180000,177,pendiente,esperando respuesta cliente,33
RES-0117,CLI-0117,ART-005,CAMP-DIR-01,2026-05-17,13:00,WhatsApp,visita directa,minimalista,muneca,grande,180000,150,pendiente,esperando respuesta cliente,38
RES-0118,CLI-0118,ART-001,CAMP-RET-01,2026-06-07,11:00,WhatsApp,cliente recurrente,minimalista color,muneca,mediano,85000,129,confirmada,reserva confirmada,51
RES-0119,CLI-0119,ART-001,CAMP-AIEP-01,2026-05-20,12:30,Instagram,evento AIEP,minimalista,pecho,sesion larga,260000,334,confirmada,reserva confirmada,76
RES-0120,CLI-0120,ART-006,CAMP-GO-01,2026-06-14,09:30,WhatsApp,Google,blackwork,pierna,mediano,130000,110,pendiente,esperando respuesta cliente,29
RES-0121,CLI-0121,ART-001,CAMP-IG-01,2026-05-20,16:30,WhatsApp,Instagram,minimalista,hombro,pequeno,45000,131,confirmada,reserva confirmada,37
RES-0122,CLI-0122,ART-005,CAMP-RET-01,2026-06-05,12:00,WhatsApp,cliente recurrente,fine line,cuello,pequeno,60000,184,confirmada,reserva confirmada,52
RES-0123,CLI-0123,ART-006,CAMP-IG-01,2026-05-15,12:30,WhatsApp,Instagram,blackwork,cuello,mediano,130000,122,confirmada,reserva confirmada,53
RES-0124,CLI-0124,ART-005,CAMP-TK-01,2026-05-23,13:30,WhatsApp,TikTok,fine line color,pierna,mediano,85000,24,pendiente,esperando respuesta cliente,20
RES-0125,CLI-0125,ART-003,CAMP-TK-01,2026-06-18,11:00,WhatsApp,TikTok,geometrico,muneca,grande,180000,105,pendiente,esperando respuesta cliente,29
RES-0126,CLI-0126,ART-005,CAMP-REF-01,2026-05-16,15:30,WhatsApp,recomendacion,geometrico color,hombro,grande,275000,77,confirmada,reserva confirmada,80
RES-0127,CLI-0127,ART-004,CAMP-IG-01,2026-06-02,14:00,WhatsApp,Instagram,blackwork,costillas,grande,225000,188,confirmada,reserva confirmada,70
RES-0128,CLI-0128,ART-003,CAMP-IG-01,2026-05-31,10:30,WhatsApp,Instagram,geometrico,antebrazo,pequeno,40000,24,confirmada,reserva confirmada,31
RES-0129,CLI-0129,ART-003,CAMP-GO-01,2026-06-04,12:30,Instagram,Google,minimalista,brazo,mediano,100000,32,pendiente,esperando respuesta cliente,18
RES-0130,CLI-0130,ART-002,CAMP-IG-01,2026-05-19,10:30,Instagram,Instagram,blackwork,pierna,mediano,170000,373,pendiente,esperando respuesta cliente,36
RES-0131,CLI-0131,ART-001,CAMP-DIR-01,2026-05-30,16:00,WhatsApp,visita directa,minimalista,pierna,mediano,85000,70,confirmada,reserva confirmada,44
RES-0132,CLI-0132,ART-003,CAMP-IG-01,2026-06-06,10:30,WhatsApp,Instagram,minimalista,costillas,pequeno,40000,22,confirmada,reserva confirmada,36
RES-0133,CLI-0133,ART-006,CAMP-GO-01,2026-05-17,09:00,WhatsApp,Google,geometrico color,brazo,pequeno,60000,163,cancelada,perdida,16
RES-0134,CLI-0134,ART-003,CAMP-REF-01,2026-05-24,15:30,Instagram,recomendacion,minimalista,hombro,pequeno,40000,106,pendiente,esperando respuesta cliente,22
RES-0135,CLI-0135,ART-004,CAMP-AIEP-01,2026-06-17,17:00,WhatsApp,evento AIEP,blackwork,muneca,grande,235000,180,confirmada,reserva confirmada,68
RES-0136,CLI-0136,ART-002,CAMP-RET-01,2026-05-21,15:00,WhatsApp,cliente recurrente,tradicional color,muneca,sesion larga,260000,55,pendiente,esperando respuesta cliente,64
RES-0137,CLI-0137,ART-006,CAMP-AIEP-01,2026-06-06,13:00,Instagram,evento AIEP,geometrico,cuello,mediano,135000,36,cancelada,perdida,25
RES-0138,CLI-0138,ART-003,CAMP-AIEP-01,2026-05-14,12:00,Instagram,evento AIEP,fine line,brazo,mediano,85000,163,pendiente,esperando respuesta cliente,20
RES-0139,CLI-0139,ART-005,CAMP-IG-01,2026-05-17,12:00,WhatsApp,Instagram,geometrico color,pierna,mediano,150000,105,confirmada,reserva confirmada,56
RES-0140,CLI-0140,ART-003,CAMP-DIR-01,2026-06-15,10:00,WhatsApp,visita directa,geometrico,antebrazo,grande,180000,148,pendiente,esperando respuesta cliente,33
RES-0141,CLI-0141,ART-005,CAMP-IG-01,2026-05-26,13:00,Instagram,Instagram,geometrico,brazo,mediano,85000,133,pendiente,esperando respuesta cliente,15
RES-0142,CLI-0142,ART-001,CAMP-REF-01,2026-06-13,14:00,WhatsApp,recomendacion,fine line,costillas,pequeno,55000,157,confirmada,reserva confirmada,49
RES-0143,CLI-0143,ART-006,CAMP-IG-01,2026-06-17,12:00,WhatsApp,Instagram,geometrico,cuello,mediano,160000,76,contactar,pendiente de contacto,34
RES-0144,CLI-0144,ART-005,CAMP-IG-01,2026-05-15,15:00,WhatsApp,Instagram,minimalista,pierna,sesion larga,260000,164,pendiente,esperando respuesta cliente,52
RES-0145,CLI-0145,ART-005,CAMP-GO-01,2026-05-15,14:30,WhatsApp,Google,geometrico,cuello,pequeno,70000,67,confirmada,reserva confirmada,42
RES-0146,CLI-0146,ART-006,CAMP-RET-01,2026-05-30,13:30,Instagram,cliente recurrente,tradicional color,muneca,mediano,170000,191,confirmada,reserva confirmada,72
RES-0147,CLI-0147,ART-003,CAMP-REF-01,2026-06-10,10:00,WhatsApp,recomendacion,fine line,brazo,mediano,85000,140,confirmada,reserva confirmada,54
RES-0148,CLI-0148,ART-003,CAMP-DIR-01,2026-05-17,15:30,Instagram,visita directa,fine line,hombro,sesion larga,260000,81,confirmada,reserva confirmada,71
RES-0149,CLI-0149,ART-004,CAMP-REF-01,2026-05-20,16:30,WhatsApp,recomendacion,lettering,cuello,pequeno,45000,136,confirmada,reserva confirmada,47
RES-0150,CLI-0150,ART-004,CAMP-IG-01,2026-06-13,12:30,WhatsApp,Instagram,lettering,hombro,pequeno,55000,122,pendiente,esperando respuesta cliente,15
RES-0151,CLI-0151,ART-006,CAMP-REF-01,2026-05-27,12:30,WhatsApp,recomendacion,blackwork,antebrazo,pequeno,65000,23,pendiente,esperando respuesta cliente,27
RES-0152,CLI-0152,ART-005,CAMP-RET-01,2026-05-25,16:00,WhatsApp,cliente recurrente,minimalista,hombro,mediano,85000,106,pendiente,esperando respuesta cliente,32
RES-0153,CLI-0153,ART-006,CAMP-DIR-01,2026-05-17,10:00,WhatsApp,visita directa,blackwork,hombro,mediano,100000,185,pendiente,esperando respuesta cliente,23
RES-0154,CLI-0154,ART-003,CAMP-GO-01,2026-06-09,16:30,WhatsApp,Google,minimalista color,hombro,mediano,85000,57,pendiente,esperando respuesta cliente,20
RES-0155,CLI-0155,ART-006,CAMP-IG-01,2026-05-24,09:00,Instagram,Instagram,geometrico,mano/dedos,mediano,140000,67,confirmada,reserva confirmada,54
RES-0156,CLI-0156,ART-001,CAMP-TK-01,2026-05-24,14:00,Instagram,TikTok,fine line color,cuello,mediano,120000,72,pendiente,esperando respuesta cliente,27
RES-0157,CLI-0157,ART-003,CAMP-TK-01,2026-05-31,16:30,WhatsApp,TikTok,geometrico,pecho,grande,180000,165,pendiente,esperando respuesta cliente,38
RES-0158,CLI-0158,ART-002,CAMP-RET-01,2026-06-18,11:00,WhatsApp,cliente recurrente,blackwork,costillas,mediano,170000,54,confirmada,reserva confirmada,67
RES-0159,CLI-0159,ART-002,CAMP-TK-01,2026-05-26,15:30,WhatsApp,TikTok,geometrico,tobillo,mediano,85000,132,confirmada,reserva confirmada,44
